layer,tile_type,max_relative,min_relative,average_relative,geometry_format,element_count,std_dev
1,reports_tile_max,59.55802163379506,0.0,0.0122828829712955,SQUARE,40,0.635803245842185
1,reports_tile_max,3.081273159511913,0.0,0.0008053212324729694,SQUARE,36,0.040396747986064324
1,reports_tile_max,2.8164360116719833,0.0,0.0017063731162495189,SQUARE,16,0.053667735534622285
1,reports_tile_max,5.499316818644147,0.0,0.0006041962636011426,SQUARE,31,0.05654859460755606
1,reports_tile_max,39.23775398022372,0.0,0.009228392990072803,SQUARE,16,0.45971129610698086
1,reports_tile_max,9.38981656501805,0.0,0.002882534005126814,SQUARE,16,0.12489212973841118
1,reports_tile_max,54.50027550470339,0.0,0.011206730891723499,SQUARE,69,0.5852448438993779
1,reports_tile_max,46.800521519308425,0.0,0.008557108648584952,SQUARE,15,0.515720002188312
1,reports_tile_max,55.09981427942243,0.0,0.011486675478149617,SQUARE,69,0.5908347155838177
1,reports_tile_max,82.42012032673922,0.0,0.01685218547005265,SQUARE,16,0.9913107053147817
1,reports_tile_max,2.2418732779414206,0.0,0.0005100999037417659,SQUARE,36,0.02526872808717037
1,reports_tile_max,121.19634761777189,0.0,0.015513497654394194,LINE,8,1.2516619366006458
1,reports_tile_max,54.494776600165274,0.0,0.011626817346260448,SQUARE,69,0.5879475747217189
1,reports_tile_max,19.5161485595275,0.0,0.004856623589829701,SQUARE,18,0.2275466690388075
1,reports_tile_max,51.20310987568418,0.0,0.010756251986601914,SQUARE,69,0.5505013716748811
1,reports_tile_max,2.5232687996126884,0.0,0.0016501504091693384,SQUARE,16,0.0495591791763542
1,reports_tile_max,121.19634761777189,0.0,0.01382384416177957,SQUARE,16,1.2456209141385595
1,reports_tile_max,54.643348314208566,0.0,0.007868384537286728,SQUARE,16,0.5647990347456979
1,reports_tile_max,54.50027550470339,0.0,0.011206730891723499,SQUARE,69,0.5852448438993779
1,reports_tile_max,2.0441924190787684,0.0,0.0009391350072627536,LINE,8,0.03634586626657933
1,reports_tile_max,2.2418732779414206,0.0,0.0005101025536054537,SQUARE,65,0.02526872803408327
1,reports_tile_max,4.094491645998895,0.0,0.0009221829552516705,SQUARE,36,0.04899196599867467
1,reports_tile_max,1367837.386552699,0.0,353.7448444593064,SQUARE,72,18428.721068729694
1,reports_tile_max,2.5628282021884896,0.0,0.0007274058827371245,LINE,8,0.033134733791912965
1,reports_tile_max,62.08949221259368,0.0,0.012946005908608267,SQUARE,40,0.6608983536168269
1,reports_tile_max,2.2418732779414206,0.0,0.0005100999037417659,SQUARE,36,0.02526872808717037
1,reports_tile_max,1.0741692207383302e-05,0.0,2.64986368778048e-09,SQUARE,29,1.431893573090441e-07
1,reports_tile_max,121.85562627947543,0.0,0.01751660186090265,LINE,8,1.2789198186090485
1,reports_tile_max,2.2418732779414206,0.0,0.0005100999037417659,SQUARE,36,0.02526872808717037
1,reports_tile_max,2.2418732779414206,0.0,0.0005100999037417659,SQUARE,36,0.02526872808717037
1,reports_tile_max,2.2418732779414206,0.0,0.0005100999037417659,SQUARE,36,0.02526872808717037
1,reports_tile_max,54.50027550470339,0.0,0.011206730891723499,SQUARE,69,0.5852448438993779
1,reports_tile_max,39.98763829228132,0.0,0.008176581407360948,SQUARE,16,0.4418356220104988
1,reports_tile_max,4.455349135655174,0.0,0.0017864143329229768,SQUARE,16,0.06323892234282096
1,reports_tile_max,1.0741692207383302e-05,0.0,2.64986368778048e-09,SQUARE,29,1.431893573090441e-07
1,reports_tile_max,52.20587112226861,0.0,0.011985607128397996,SQUARE,69,0.570364791136543
1,reports_tile_max,46.800521519308425,0.0,0.007980213154873237,LINE,8,0.5150531749914738
1,reports_tile_max,79.14973175831432,0.0,0.020385042392123374,SQUARE,68,0.9786055947229674
1,reports_tile_max,2.2418732779414206,0.0,0.0005100999037417659,SQUARE,36,0.02526872808717037
1,reports_tile_max,2.2418732779414206,0.0,0.0005101025536054537,SQUARE,65,0.02526872803408327
1,reports_tile_max,103.32663518594224,0.0,0.016510417142866496,LINE,8,1.1179503726375288
1,reports_tile_max,76.49636174815595,0.0,0.01634201860832297,LINE,8,0.9859797732403326
1,reports_tile_max,1.0741692207383302e-05,0.0,2.64986368778048e-09,SQUARE,29,1.431893573090441e-07
1,reports_tile_max,54.50027550470339,0.0,0.011206730891723499,SQUARE,69,0.5852448438993779
1,reports_tile_max,1.0741692207383302e-05,0.0,2.64986368778048e-09,SQUARE,29,1.431893573090441e-07
1,reports_tile_max,3.081273159511913,0.0,0.0009009293729063515,SQUARE,15,0.04111041729613207
1,reports_tile_max,76.99216735921982,0.0,0.02039237150002481,SQUARE,68,0.9948267770081535
1,reports_tile_max,2.2418732779414206,0.0,0.0005100999037417659,SQUARE,36,0.02526872808717037
1,reports_tile_max,2.2418732779414206,0.0,0.0005100999037417659,SQUARE,36,0.02526872808717037
1,reports_tile_max,57.35304139959777,0.0,0.011620500826429294,SQUARE,69,0.614192118603676
1,reports_tile_max,55.54104759917096,0.0,0.011907414200317754,SQUARE,40,0.5979484477016627
1,reports_tile_max,1.0741692207383302e-05,0.0,2.64986368778048e-09,SQUARE,29,1.431893573090441e-07
1,reports_tile_max,1.0157942596604308e+39,0.0,1.0993319866114788e+35,SQUARE,68,1.0437746718633451e+37
1,reports_tile_max,55.1319848828051,0.0,0.011843902532260895,SQUARE,69,0.5925617949739047
1,reports_tile_max,38.53992410838346,0.0,0.010347910547584114,SQUARE,69,0.45554396342420667
1,reports_tile_max,87.59207386614244,0.0,0.02077775284315688,SQUARE,68,1.0428194421256298
1,reports_tile_max,1.0741692207383302e-05,0.0,2.64986368778048e-09,SQUARE,29,1.431893573090441e-07
1,reports_tile_max,54.510764078881635,0.0,0.011991174886676307,SQUARE,69,0.5890345920309662
1,reports_tile_max,14.654922109913402,0.0,0.004341354064870401,SQUARE,16,0.18844579487865037
1,reports_tile_max,4.569450183114192,0.0,0.0004969480850170749,SQUARE,31,0.04696947037633189
1,reports_tile_max,72.08992516268904,0.0,0.016334756455157508,LINE,8,0.9820938756450134
1,reports_tile_max,1.0741692207383302e-05,0.0,2.64986368778048e-09,SQUARE,29,1.431893573090441e-07
1,reports_tile_max,81.2889489692775,0.0,0.020153292906324907,SQUARE,68,0.9832806378224319
1,reports_tile_max,1.0741692207383302e-05,0.0,2.64986368778048e-09,SQUARE,29,1.431893573090441e-07
1,reports_tile_max,7.583144855228194,0.0,0.0020512801995914414,SQUARE,16,0.09103924672999417
1,reports_tile_max,94.75092006370386,0.0,0.018517480675116743,SQUARE,16,1.0595045387660242
1,reports_tile_max,7.655869854462464,0.0,0.0022797841539598214,SQUARE,16,0.1024306206818638
1,reports_tile_max,73.63904047838605,0.0,0.019891786658252954,SQUARE,32,0.9832147473333013
1,reports_tile_max,2.7185787784997557,0.0,0.001080765258480607,SQUARE,16,0.0396295741164952
1,reports_tile_max,5.318038698115322,0.0,0.0005832881596846615,SQUARE,31,0.05468071526587323
1,reports_tile_max,54.50027550470339,0.0,0.011206730891723499,SQUARE,69,0.5852448438993779
1,reports_tile_max,1.0741692207383302e-05,0.0,2.64986368778048e-09,SQUARE,29,1.431893573090441e-07
1,reports_tile_max,55.09981427942243,0.0,0.011798918310928035,SQUARE,69,0.5929788802614643
1,reports_tile_max,54.50027550470339,0.0,0.011206730891723499,SQUARE,69,0.5852448438993779
1,reports_tile_max,48.762613350833284,0.0,0.01101934771170583,SQUARE,69,0.5381976105716522
1,reports_tile_max,54.50027550470339,0.0,0.011206730891723499,SQUARE,69,0.5852448438993779
1,reports_tile_max,8.023157658345301,0.0,0.002939649212573326,SQUARE,23,0.10372279732288185
1,reports_tile_max,1.0741692207383302e-05,0.0,2.64986368778048e-09,SQUARE,29,1.431893573090441e-07
1,reports_tile_max,1.0741692207383302e-05,0.0,2.64986368778048e-09,SQUARE,29,1.431893573090441e-07
1,reports_tile_max,2.2418732779414206,0.0,0.0005100999037417659,SQUARE,36,0.02526872808717037
1,reports_tile_max,1.0741692207383302e-05,0.0,2.64986368778048e-09,SQUARE,29,1.431893573090441e-07
1,reports_tile_max,2.510149913080498,0.0,0.0008174728611045953,LINE,8,0.03601776010642083
1,reports_tile_max,1.0741692207383302e-05,0.0,2.64986368778048e-09,SQUARE,29,1.431893573090441e-07
1,reports_tile_max,1.0741692207383302e-05,0.0,2.64986368778048e-09,SQUARE,29,1.431893573090441e-07
1,reports_tile_max,78.91965876256623,0.0,0.02012091601307751,SQUARE,68,0.9774913556441027
1,reports_tile_max,9.38981656501805,0.0,0.002882534005126814,SQUARE,16,0.12489212973841118
1,reports_tile_max,2.2418732779414206,0.0,0.0005101025536054537,SQUARE,65,0.02526872803408327
1,reports_tile_max,79.14973175831432,0.0,0.020117594631795997,SQUARE,68,0.9779383299535442
1,reports_tile_max,2.2418732779414206,0.0,0.0005100999037417659,SQUARE,36,0.02526872808717037
1,reports_tile_max,2.2418732779414206,0.0,0.0005101025536054537,SQUARE,65,0.02526872803408327
1,reports_tile_max,46011434.4269525,0.0,22379.254887731073,SQUARE,16,727922.60460309
1,reports_tile_max,4.003835228921096,0.0,0.0009117269014079812,SQUARE,36,0.048192991904004036
1,reports_tile_max,118.81307339695964,0.0,0.0161069070275656,LINE,8,1.22994569431026
1,reports_tile_max,2.2418732779414206,0.0,0.0005101025536054537,SQUARE,65,0.02526872803408327
1,reports_tile_max,2.534578870116988e-07,0.0,9.884939962101191e-11,LINE,6,4.229283290946904e-09
1,reports_tile_max,82.42012032673922,0.0,0.019525432001305965,SQUARE,32,0.9967558443407132
1,reports_tile_max,3.1541981107397477,0.0,0.000333716927773632,SQUARE,31,0.032407541835960944
1,reports_tile_max,59.55802163379506,0.0,0.010362587670035563,SQUARE,16,0.6348238498844545
1,reports_tile_max,1.0741692207383302e-05,0.0,2.64986368778048e-09,SQUARE,29,1.431893573090441e-07
1,reports_tile_max,58.323863194791,0.0,0.017987999201606392,SQUARE,68,0.8173108655441323
1,reports_tile_max,1.4614132284318515e-06,0.0,3.8015008703804295e-10,LINE,6,1.848354662053103e-08
1,reports_tile_max,7.655869854462464,0.0,0.0022797841539598214,SQUARE,16,0.1024306206818638
1,reports_tile_max,2.2418732779414206,0.0,0.0005100999037417659,SQUARE,36,0.02526872808717037
1,reports_tile_max,94.75092006370386,0.0,0.018332001463100597,SQUARE,16,1.0664920200623031
1,reports_tile_max,94.75092006370386,0.0,0.030176407486832684,SQUARE,72,1.1550638375913096
1,reports_tile_max,3.081273159511913,0.0,0.0008053212324729694,SQUARE,36,0.040396747986064324
